variable,data_type,description,disposition,topic,subtopic,record_level
EOWN_ANN,Numeric,Owned any annuities as of the last day of the reference period.,0,Assets,Annuities and Trusts,Person
EOWN_ANNEQ,Numeric,Whether respondent owned any equity in annuities.,2,Assets,Annuities and Trusts,Person
EOWN_TR,Numeric,Owned any trusts as of the last day of the reference period.,0,Assets,Annuities and Trusts,Person
EOWN_TREQ,Numeric,Whether respondent owned any equity in trusts.,2,Assets,Annuities and Trusts,Person
TANNINC,Numeric,Amount of income received from annuities during the reference period.,2,Assets,Annuities and Trusts,Person
TANNINC_MED,Numeric,Median of topcoded values for TANNINC,0,Assets,Annuities and Trusts,Person
TANNINC_STD,Numeric,Standard deviation of topcoded values for TANNINC,0,Assets,Annuities and Trusts,Person
TANNVAL,Numeric,Value of equity in annuities as of the last day of the reference period.,2,Assets,Annuities and Trusts,Person
TANNVAL_MED,Numeric,Median of topcoded values for TANNVAL,0,Assets,Annuities and Trusts,Person
TANNVAL_STD,Numeric,Standard deviation of topcoded values for TANNVAL,0,Assets,Annuities and Trusts,Person
TTRINC,Numeric,Amount of income received from trusts during the reference period.,2,Assets,Annuities and Trusts,Person
TTRINC_MED,Numeric,Median of topcoded values for TTRINC,0,Assets,Annuities and Trusts,Person
TTRINC_STD,Numeric,Standard deviation of topcoded values for TTRINC,0,Assets,Annuities and Trusts,Person
TTRVAL,Numeric,Value of equity in trusts as of the last day of the reference period.,2,Assets,Annuities and Trusts,Person
TTRVAL_MED,Numeric,Median of topcoded values for TTRVAL,0,Assets,Annuities and Trusts,Person
TTRVAL_STD,Numeric,Standard deviation of topcoded values for TTRVAL,0,Assets,Annuities and Trusts,Person
EOWN_ANNTR,Numeric,Owned any annuities or trusts during the reference period.,1,Assets,Asset Type,Person
EOWN_BSI,Numeric,"Owned any businesses as an investment only during the reference period [such as investments in a non-corporate business venture managed by others (e.g., a limited partnership) or investments in a corporation, in which he/she has a passive financial interest].",1,Assets,Asset Type,Person
EOWN_CD,Numeric,Owned any certificates of deposit during the reference period.,1,Assets,Asset Type,Person
EOWN_CHK,Numeric,Owned any checking accounts during the reference period.,1,Assets,Asset Type,Person
EOWN_GOVS,Numeric,"Owned any government securities during the reference period [such as savings bonds, T-Bills, T-Bonds, T-Notes, and government sponsored enterprise (GSE) credit instruments such as Fannie Mae].",1,Assets,Asset Type,Person
EOWN_IRAKEO,Numeric,Owned any IRA or KEOGH accounts during the reference period.,1,Assets,Asset Type,Person
EOWN_LIFE,Numeric,Owned any life insurance policies during the reference period.,1,Assets,Asset Type,Person
EOWN_MCBD,Numeric,Owned any municipal or corporate bonds during the reference period.,1,Assets,Asset Type,Person
EOWN_MF,Numeric,"Owned any mutual funds during the reference period [such as stock funds, bond funds, and similar long-term assets].",1,Assets,Asset Type,Person
EOWN_MM,Numeric,Owned any money market deposit accounts or money market funds during the reference period.,1,Assets,Asset Type,Person
EOWN_OINV,Numeric,"Owned any other financial investments during the reference period [such as coins, collectibles, jewelry, artwork, mortgages paid to him/her, other loans owed to him/her, and royalties].",1,Assets,Asset Type,Person
EOWN_PENSION,Numeric,Participated in a defined-benefit pension or cash balance plan during the reference period.,2,Assets,Asset Type,Person
EOWN_RE,Numeric,Owned any other real estate during the reference period [such as vacation homes and undeveloped lots].,1,Assets,Asset Type,Person
EOWN_RP,Numeric,"Owned any rental properties during the reference period [such as residential, commercial, industrial, or land rental properties or equipment that is rented out (e.g., tractors and computers)].",1,Assets,Asset Type,Person
EOWN_SAV,Numeric,Owned any savings accounts during the reference period.,1,Assets,Asset Type,Person
EOWN_ST,Numeric,Owned any stocks during the reference period [excluding stock-options].,1,Assets,Asset Type,Person
EOWN_THR401,Numeric,"Owned any 401k, 403b, 503b, or Thrift Savings Plan accounts during the reference period.",1,Assets,Asset Type,Person
ERET_LUMPSUM,Numeric,Receipt of any lump sum or regular distribution payments from a retirement plan.,2,Assets,Asset Type,Person
EASTRECUSE,Numeric,Respondent used financial records to answer asset questions.,1,Assets,Assets,Person
TBSIDT_MED,Numeric,Median of topcoded values for TBSI(1-3)DEBTVAL,0,Assets,Assets,Person
TBSIDT_STD,Numeric,Standard deviation of topcoded values for TBSI(1-3)DEBTVAL,0,Assets,Assets,Person
TBSIVL_MED,Numeric,Median of topcoded values for TBSI(1-3)VAL,0,Assets,Assets,Person
TBSIVL_STD,Numeric,Standard deviation of topcoded values for TBSI(1-3)VAL,0,Assets,Assets,Person
TBSJDT_MED,Numeric,Median of topcoded values for TBSJ(1-7)DEBTVAL,0,Assets,Assets,Person
TBSJDT_STD,Numeric,Standard deviation of topcoded values for TBSJ(1-7)DEBTVAL,0,Assets,Assets,Person
TBSJVL_MED,Numeric,Median of topcoded values for TBSJ(1-7)VAL,0,Assets,Assets,Person
TBSJVL_STD,Numeric,Standard deviation of topcoded values for TBSJ(1-7)VAL,0,Assets,Assets,Person
TESAV_MED,Numeric,Median of topcoded values for TESAV(1-3)VAL,0,Assets,Assets,Household
TESAV_STD,Numeric,Standard deviation of topcoded values for TESAV(1-3)VAL,0,Assets,Assets,Household
TIRAKEOVAL,Numeric,Value of IRA and KEOGH accounts as of the last day of the reference period.,2,Assets,Assets,Person
TIRAKEO_MED,Numeric,Median of topcoded values for TIRAKEOVAL,0,Assets,Assets,Person
TIRAKEO_STD,Numeric,Standard deviation of topcoded values for TIRAKEOVAL,0,Assets,Assets,Person
TJOBDNC_MED,Numeric,Median of topcoded values for TJOMCBDINC,0,Assets,Assets,Person
TJOBDNC_STD,Numeric,Standard deviation of topcoded values for TJOMCBDINC,0,Assets,Assets,Person
TJOBDVL_MED,Numeric,Median of topcoded values for TJOMCBDVAL,0,Assets,Assets,Person
TJOBDVL_STD,Numeric,Standard deviation of topcoded values for TJOMCBDVAL,0,Assets,Assets,Person
TJOCDINC,Numeric,Share of total interest income earned over the reference period from jointly-owned certificates of deposit [for respondents without a spouse in the household either at the end of the reference period or at the time of interview or without a civil union partner in the household at the end of the reference period].,2,Assets,Assets,Person
TJOCDNC_MED,Numeric,Median of topcoded values for TJOCDINC,0,Assets,Assets,Person
TJOCDNC_STD,Numeric,Standard deviation of topcoded values for TJOCDINC,0,Assets,Assets,Person
TJOCDVAL,Numeric,Share of value of jointly-owned certificates of deposit (CDs) as of the last day of the reference period [for respondents without a spouse in the household either at the end of the reference period or at the time of interview or without a civil union partner in the household at the end of the reference period].,2,Assets,Assets,Person
TJOCDVL_MED,Numeric,Median of topcoded values for TJOCDVAL,0,Assets,Assets,Person
TJOCDVL_STD,Numeric,Standard deviation of topcoded values for TJOCDVAL,0,Assets,Assets,Person
TJOCHKINC,Numeric,Share of total interest income earned over the reference period from jointly-owned checking accounts [for respondents without a spouse in the household either at the end of the reference period or at the time of interview or without a civil union partner in the household at the end of the reference period].,2,Assets,Assets,Person
TJOCHKVAL,Numeric,Share of value of jointly-owned checking accounts as of the last day of the reference period [for respondents without a spouse in the household either at the end of the reference period or at the time of interview or without a civil union partner in the household at the end of the reference period].,2,Assets,Assets,Person
TJOCKINC_MED,Numeric,Median of topcoded values for TJOCHKINC (by demographic group),0,Assets,Assets,Person
TJOCKINC_STD,Numeric,Standard deviation of topcoded values for TJOCHKINC (by demographic group),0,Assets,Assets,Person
TJOCKVL_MED,Numeric,Median of topcoded values for TJOCHKVAL,0,Assets,Assets,Person
TJOCKVL_STD,Numeric,Standard deviation of topcoded values for TJOCHKVAL,0,Assets,Assets,Person
TJOGOVSINC,Numeric,Share of total interest income earned over the reference period from jointly-owned government securities [for respondents without a spouse in the household either at the end of the reference period or at the time of interview or without a civil union partner in the household at the end of the reference period].,2,Assets,Assets,Person
TJOGOVSVAL,Numeric,Share of value of jointly-owned government securities as of the last day of the reference period [for respondents without a spouse in the household either at the end of the reference period or at the time of interview or without a civil union partner in the household at the end of the reference period].,2,Assets,Assets,Person
TJOGVNC_MED,Numeric,Median of topcoded values for TJOGOVSINC,0,Assets,Assets,Person
TJOGVNC_STD,Numeric,Standard deviation of topcoded values for TJOGOVSINC,0,Assets,Assets,Person
TJOGVVL_MED,Numeric,Median of topcoded values for TJOGOVSVAL,0,Assets,Assets,Person
TJOGVVL_STD,Numeric,Standard deviation of topcoded values for TJOGOVSVAL,0,Assets,Assets,Person
TJOMCBDINC,Numeric,Share of total interest income earned over the reference period from jointly-owned municipal and corporate bonds [for respondents without a spouse or civil union partner in the household].,2,Assets,Assets,Person
TJOMCBDVAL,Numeric,Share of value of jointly-owned municipal and corporate bonds as of the last day of the reference period [for respondents without a spouse in the household either at the end of the reference period or at the time of interview or without a civil union partner in the household at the end of the reference period].,2,Assets,Assets,Person
TJOMMINC,Numeric,Share of total interest income earned over the reference period from jointly-owned money market deposit accounts and money market funds [for respondents without a spouse in the household either at the end of the reference period or at the time of interview or without a civil union partner in the household at the end of the reference period].,2,Assets,Assets,Person
TJOMMNC_MED,Numeric,Median of topcoded values for TJOMMINC,0,Assets,Assets,Person
TJOMMNC_STD,Numeric,Standard deviation of topcoded values for TJOMMINC,0,Assets,Assets,Person
TJOMMVAL,Numeric,Share of value of jointly-owned money market deposit accounts and money market funds as of the last day of the reference period [for respondents without a spouse in the household either at the end of the reference period or at the time of interview or without a civil union partner in the household at the end of the reference period].,2,Assets,Assets,Person
TJOMMVL_MED,Numeric,Median of topcoded values for TJOMMVAL,0,Assets,Assets,Person
TJOMMVL_STD,Numeric,Standard deviation of topcoded values for TJOMMVAL,0,Assets,Assets,Person
TJOREDEBTVAL,Numeric,Share of debt against jointly-owned other real estate as of the last day of the reference period [for respondents without a spouse in the household either at the end of the reference period or at the time of interview or without a civil union partner in the household at the end of the reference period].,2,Assets,Assets,Person
TJOREDT_MED,Numeric,Median of topcoded values for TJOREDEBTVAL,0,Assets,Assets,Person
